id	severity	slice	component	summary	source_report
API-1	Critical	api-routes	POST /api/orders × worker-new-order.tsx	the worker New-order dialog posts tableNumber while POST /api/orders requires tableToken, so every worker-created order (including all custom lines) returns 400 BAD_BODY — 100% broken.	docs/audit/02-api-routes.md
API-10	Medium	api-routes	POST /api/auth/signup partial provisioning	on a binding failure the account is created but owns nothing (login lands on an empty dashboard with no explanation, and there is no retry path — a second signup is refused by design or binds nothing…	docs/audit/02-api-routes.md
API-11	Low	api-routes	rate-limit response consistency	callers cannot back off uniformly; the two client-side retry UIs that exist (guest order submit, scan dialog) read message prose instead.	docs/audit/02-api-routes.md
API-12	Low	api-routes	POST /api/menu/scan error detail leak	internal/provider detail (endpoint paths, provider error payloads, stack-derived messages from String(err)) is returned to the browser.	docs/audit/02-api-routes.md
API-13	Low	api-routes	unreferenced endpoints → no worker revocation	the owner's worker list is permanently empty on the device that created the invite (and after any localStorage clear), and worker revocation is unreachable from the product even though DELETE…	docs/audit/02-api-routes.md
API-14	Low	api-routes	menu sync rewrites the public slug	renaming the restaurant silently changes its public URL, so every already-printed or shared /menu/<slug>/<token> link 404s.	docs/audit/02-api-routes.md
API-15	Low	api-routes	owner-supplied acceptedBy is not scoped to the restaurant	an owner can attribute an order to an arbitrary UUID — including a worker of another restaurant — and pair it with any name, so the "Accepted by <name>" attribution on the board is not trustworthy.	docs/audit/02-api-routes.md
API-16	Low	api-routes	POST /api/auth/callback refresh-token fallback	when the link carries no refresh_token, the access token is stored as the refresh token; the grant then fails deterministically and the session dies at the access-token TTL (~1 h) with no refresh…	docs/audit/02-api-routes.md
API-17	Low	api-routes	POST /api/upload failures degrade to a data URL	after a rejected upload (e.g. a GIF passes the client's image/* check but not the server's MIME allowlist at upload/route.ts:79-82), the menu carries a data: URL and every subsequent autosave fails —…	docs/audit/02-api-routes.md
API-2	Critical	api-routes	GET /api/menu + onboarding-store autosave	a swallowed PostgREST error in GET /api/menu is reported as an empty menu, and the client autosave then PUTs that empty state — deleting every product and every table of the restaurant ~900 ms later.	docs/audit/02-api-routes.md
API-3	High	api-routes	PUT /api/menu	on a slug clash the request returns 409 but the write already landed, so two restaurants now share a slug; .single() then fails with PGRST116 (multiple rows returned) → notFound() → the public menu…	docs/audit/02-api-routes.md
API-4	Medium	api-routes	fetchForeignRows ownership guard	the IDOR guard fails open. Any error from that ownership query (transient, schema cache, malformed filter) is interpreted as "no foreign rows", so a payload containing another restaurant's…	docs/audit/02-api-routes.md
API-5	Medium	api-routes	PATCH /api/orders/[id] role matrix	any Cashier or Manager can reopen an order (and a rejected 403 never happens), so an accepted order can be pushed back to the pending column by any worker, across devices.	docs/audit/02-api-routes.md
API-6	Medium	api-routes	POST /api/auth/worker/accept × accept page	a worker whose invite was already claimed, rate-limited, or rejected by the DB is told "welcome" and lands on /worker/dashboard with no server session — WorkerShell then bounces them…	docs/audit/02-api-routes.md
API-7	Medium	api-routes	POST /api/auth/signup	(a) an unauthenticated, scriptable account-existence oracle; (b) unbounded creation of *confirmed* auth users through the service-role client (email_confirm: true, signup/route.ts:67-73) — one HTTP…	docs/audit/02-api-routes.md
API-8	Medium	api-routes	PATCH /api/orders/[id] × use-orders	a 401 (expired session), 403 (cashier marking paid, cross-restaurant), 400 (malformed acceptedBy) or 500 is invisible.	docs/audit/02-api-routes.md
API-9	Medium	api-routes	POST /api/auth/worker/invite	an authenticated owner (or anyone who obtained an owner session) can mint unlimited redeemable worker credentials — 256-bit tokens, but no throttle, no cap, and no cleanup of unclaimed rows.	docs/audit/02-api-routes.md
DB-01	Critical	database	migrations/base-schema	Nobody can stand the app up from the repo.	docs/audit/01-database.md
DB-02	Critical	database	schema contract	app writes columns no committed DDL accounts for (products.updated_at, orders.table_id, worker_invites.used_by, restaurants.updated_at), so PUT /api/menu 500s and every read can fail 42703.	docs/audit/01-database.md
DB-03	High	database	PUT /api/menu	Any failure of the restaurant update (missing column, RLS, oversized value) is reported to the user as a successful save while name/slug/tagline/theme/logo/cover are all discarded.	docs/audit/01-database.md
DB-04	High	database	restaurants.slug	Two owners (or one owner with two restaurants) can persist the same slug; from then on .single() returns a PGRST116 error for every guest scan of that slug, data is null and the public menu 404s…	docs/audit/01-database.md
DB-05	High	database	PostgREST embeds / FKs	without the FKs PostgREST returns PGRST200, data is null, and the dashboard shows zero orders while orders exist in the table, and every valid worker invite link 404s.	docs/audit/01-database.md
DB-06	High	database	1002 §7 RLS	if the pre-existing schema had a permissive read policy on workers or worker_invites — e.g.	docs/audit/01-database.md
DB-07	Medium	database	1002:77-90 dedupe renumbering	a re-run silently renumbers tickets that were already printed/served — two different orders end up sharing/shifting the numbers a kitchen already saw.	docs/audit/01-database.md
DB-08	Medium	database	1002 day boundary	after local midnight while the UTC day is still the same, the counter restarts at 1001 while the index still holds yesterday's-UTC-day numbers 1001..	docs/audit/01-database.md
DB-09	Medium	database	1002:81 vs 1002:96-97	with a session TimeZone ≠ UTC, two rows in different local-day partitions can be assigned the same 1000+rn while sharing the same UTC order_day; CREATE UNIQUE INDEX then fails with 23505 and, because…	docs/audit/01-database.md
DB-10	Medium	database	1002:148-153	uniqueness of a bearer credential silently depends on the order in which the schema was built; two workers could share a token and lookupWorkerByToken's maybeSingle() (src/lib/worker-auth.ts:65-71)…	docs/audit/01-database.md
DB-11	Medium	database	uniqueness contract	a duplicate makes the corresponding lookup return a PostgREST error with no message the user can act on: the guest menu 404s (page.tsx:26), guest ordering returns 404 BAD_TABLE, invite acceptance…	docs/audit/01-database.md
DB-12	Medium	database	1002:158-171 CHECK constraints	on any pre-existing project with one out-of-range row — a negative price from an OCR import, a legacy quantity = 0 line — the ADD CONSTRAINT raises 23514 and aborts the whole migration, so the…	docs/audit/01-database.md
DB-13	Medium	database	required defaults	on a base schema whose PKs lack defaults, every restaurant/order/line/invite insert fails 23502 not_null_violation — the whole product, not one screen.	docs/audit/01-database.md
DB-14	Medium	database	products.price / orders.total column types	if price/total are declared integer or real, PostgreSQL silently rounds fractional prices on assignment — a 2.50 TND item becomes 3.00, and the ticket total no longer matches the sum of the lines the…	docs/audit/01-database.md
DB-15	Medium	database	Supabase coupling	the migration is Supabase-only; a developer who follows the README onto RDS/Neon/ docker-postgres gets 42883 at 1002:194-203 and 42P01 at 1002:291.	docs/audit/01-database.md
DB-16	Medium	database	PUT /api/menu deletes	when a delete is rejected by a FK from orders.table_id (or any other constraint), the row survives while the client's payload says it is gone; the next GET /api/menu re-adds it (:67-84) and the owner…	docs/audit/01-database.md
DB-17	Medium	database	legacy triggers	on that project — and on any project inheriting the same ad-hoc schema — running 1002 does not deliver what the file claims (§1 "atomic daily order numbers"): the rogue trigger still stomps the…	docs/audit/01-database.md
DB-18	Medium	database	products.sort_order	the documented capability does not exist.	docs/audit/01-database.md
DB-19	Low	database	orders.order_day nullability	in a plain unique index NULLs are distinct, so the "unique backstop for daily ticket numbers" (README.md:81) silently does not constrain rows with a NULL order_day — duplicates can coexist…	docs/audit/01-database.md
DB-20	Low	database	worker role vocabulary	a row with role='manager' (accepted by the DB) is silently downgraded to Cashier at order-PATCH time, so a manager gets 403 FORBIDDEN when marking an order paid and has no way to understand why.	docs/audit/01-database.md
DB-21	Low	database	configuration surface	the documented local-setup path fails at the first step (no config → no stack), and the first-run ownership transfer depends on an undocumented variable whose default is a stale address from the…	docs/audit/01-database.md
DB-22	Low	database	allocateOrderNumber fallback	while the two windows disagree (the local/UTC day boundary) the fallback can compute a number that already exists in the UTC-day group; the insert is rejected 23505 and the loop at :261-415…	docs/audit/01-database.md
DB-23	Low	database	dead columns	three columns are required by the schema but carry no behaviour: publication is not a real control (an unpublished menu is still public and unauthenticated), and currency can never be changed from…	docs/audit/01-database.md
DB-24	Low	database	storage bucket creation	the bucket accepts any size and any content type for anything holding a service key or an authenticated Storage session; the only guard is the TypeScript handler.	docs/audit/01-database.md
FE-01	Critical	frontend-ux	Onboarding wizard	a first customer clicks the hero CTA, builds an entire menu, sees "Saved locally" (which reads as success), and none of it ever leaves the browser.	docs/audit/03-frontend-ux.md
FE-02	Critical	frontend-ux	SaveStatus / onboarding-store	the first save is exactly the one that can fail (409 SLUG_TAKEN or 5xx) and the "Saved locally" pill hides it, so the owner prints QR codes for a restaurant that was never created.	docs/audit/03-frontend-ux.md
FE-03	High	frontend-ux	Guest menu — order submit	the duplicate-order protection is defeated by the client, because every attempt carries a new key.	docs/audit/03-frontend-ux.md
FE-04	High	frontend-ux	Guest menu — 409/404 on submit	the guest is told to change something but has no way to learn what; the cart retains the offending line.	docs/audit/03-frontend-ux.md
FE-05	High	frontend-ux	Guest menu — cart and confirmation durability	(a) any refresh, accidental back-swipe or phone lock-screen eviction wipes an in-progress cart with no warning; (b) the order number and total — the guest's only proof and the only way to reconcile…	docs/audit/03-frontend-ux.md
FE-06	High	frontend-ux	Worker invite accept / invite create	under rate limiting or a broken backend, the owner hands out a link that yields a worker device holding no server session, and that device's order board is permanently empty (see FE-08).	docs/audit/03-frontend-ux.md
FE-07	High	frontend-ux	WorkerShell / worker dashboard layout	repro — in any browser, localStorage.setItem("sufra.worker", '{"id":"x","name":"x","role":"Manager"}'), then open /worker/dashboard.	docs/audit/03-frontend-ux.md
FE-08	High	frontend-ux	useOrders / onboarding hydration	an owner who signs in sees the Overview with zero revenue, zero orders and empty charts (src/app/(owner)/dashboard/page.tsx:55-63) even though the restaurant has live orders; /dashboard/orders shows…	docs/audit/03-frontend-ux.md
FE-09	High	frontend-ux	Navigation / landing page	a returning owner who opens the site root has no discoverable way back into their dashboard — they must hand-type /auth/login.	docs/audit/03-frontend-ux.md
FE-10	Medium	frontend-ux	StepPreview — scan URL	the wizard's "Scan link" — the one URL the owner is invited to copy and share — points at a domain the product does not own and a path the guest route does not serve.	docs/audit/03-frontend-ux.md
FE-11	Medium	frontend-ux	StepPreview / onboarding Navbar / Tables page	combined with FE-02, an owner whose first PUT failed still sees "Ready", still gets a "generated" toast and still gets a printable sheet of QR codes for a restaurant that does not exist.	docs/audit/03-frontend-ux.md
FE-12	Medium	frontend-ux	Onboarding autosave	repro — on /onboarding, type a category name, then within 900 ms close the tab (or, on the owner menu editor, navigate to another route that unmounts the editor).	docs/audit/03-frontend-ux.md
FE-13	Medium	frontend-ux	useOrders / WorkerNewOrderDialog / store hydration	(a) the operator cannot distinguish "no orders" from "the connection is dead" — the exact failure described in this slice's brief; (b) tapping "Place order" in a busy service simply does nothing…	docs/audit/03-frontend-ux.md
FE-14	Medium	frontend-ux	useOrders optimistic mutations	a cashier tapping Accept where the server returns 403/401/404 (or the order was already taken) sees the card move to Accepted and a green success toast; 3 seconds later the poll silently snaps it…	docs/audit/03-frontend-ux.md
FE-15	Medium	frontend-ux	ForgotForm	an owner locked out of their own restaurant is told "a reset link is on its way" with certainty, when nothing was sent and nothing can be sent (no .env.local, no Supabase project — the project's…	docs/audit/03-frontend-ux.md
FE-16	Medium	frontend-ux	App Router boundaries	a guest who scans a QR from an old print run, or a token that was regenerated, lands on Next's unstyled default 404 — English-only, unbranded, with no "ask your server to rescan" guidance and no link…	docs/audit/03-frontend-ux.md
FE-17	Medium	frontend-ux	Guest menu, category editor, lang switcher — accessibility	a screen-reader user hears "minus, plus" repeated for every product with no way to tell which dish each belongs to, and cannot adjust a cart line at all; a thumb on a phone in a dim restaurant will…	docs/audit/03-frontend-ux.md
FE-18	Medium	frontend-ux	I18nProvider — hydration	every user whose stored language is fr or ar — the two locales the product explicitly ships, including the whole Tunisian target market — renders English HTML on the server, then hydrates with…	docs/audit/03-frontend-ux.md
FE-19	Low	frontend-ux	ProductForm / invite accept — silent validation	a worker tapping "Accept invitation" with the name field untouched sees absolutely nothing happen and has no idea a name is required — the accept form has no required attribute and no error slot.	docs/audit/03-frontend-ux.md
FE-20	Low	frontend-ux	onboarding-store acceptInvite	[INFERENCE] React is permitted to invoke updaters more than once (StrictMode double-invoke, concurrent re-render), so the localStorage write and the setWorkerSession call are not guaranteed to run…	docs/audit/03-frontend-ux.md
I18N-01	High	i18n-content	Currency (guest menu)	a guest who taps $ on their table sees a coffee listed at $1.40 while the kitchen receives 4.500 TND and the owner's own card shows whatever currency *their* device last selected (same localStorage…	docs/audit/06-i18n-content.md
I18N-02	High	i18n-content	Locale default & persistence	a phone with an ar-TN locale gets the English UI, LTR, on first paint and stays English until the user finds the AR pill inside LangCurSwitcher (lang-cur-switcher.tsx:15-27, labels EN/FR/AR, not…	docs/audit/06-i18n-content.md
I18N-03	High	i18n-content	RTL — dir is never server-rendered	on the guest menu, the onboarding wizard, both dashboards and the auth pages, the rendered direction is LTR until hydration; [dir="rtl"] .font-serif (globals.css:197) cannot match before then, so…	docs/audit/06-i18n-content.md
